prop_name,category,family,rationale
Alarm_Ablation,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
Alarm_GEAR_BROKEN,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
Alarm_HighQ,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
AlarmShieldOverHeat,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
ALCORMFD60x30,REUSE_DISPLAY,RPM-MFD,Powered display; use the proven RPM MFD power-domain architecture rather than renderer/material hacks.
ASET_ALT_WARN_Dial,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
ASET_Flashlight,IGNORE_STATIC,independent-device,Intentional KMC exception: handheld flashlight is modeled as a self-contained battery-powered device independent of spacecraft buses.
ASET_Internal_EVA_Hatch,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
ASET_RecoveryBeacon,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
AxisIndicatorPitch,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
AxisIndicatorRoll,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
AxisIndicatorYaw,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
BeveragePackage_OrangeJuice,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
CargoBagA,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
CargoBagB,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
CargoBagC,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
DI_Chatterer_RECV_Level,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
DI_Chatterer_XMIT_Level,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
DI_CommNet_Signal_Strength,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
DigitalIndicator_DELTAVTOTAL,REUSE_DIGITAL,digital-indicator,Powered numeric/digital display; candidate for the proven KMC powered-digital-indicator family.
DigitalIndicator_DockingMulti01,REUSE_DIGITAL,digital-indicator,Powered numeric/digital display; candidate for the proven KMC powered-digital-indicator family.
DigitalIndicator_MISSION_TIMER_Basic,REUSE_DIGITAL,digital-indicator,Powered numeric/digital display; candidate for the proven KMC powered-digital-indicator family.
DigitalIndicator_Multi01,REUSE_DIGITAL,digital-indicator,Powered numeric/digital display; candidate for the proven KMC powered-digital-indicator family.
DigitalIndicator_TWR,REUSE_DIGITAL,digital-indicator,Powered numeric/digital display; candidate for the proven KMC powered-digital-indicator family.
EPGindicator,REUSE_PASSIVE,passive-instrument,Powered gauge/indicator; candidate for the proven KMC passive-instrument blackout family.
genericClusterSwitches02,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Hatch_Plane,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Hatch_Plane_Curve90,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
IndicatorADV_Ablator,REUSE_PASSIVE,passive-instrument,Powered gauge/indicator; candidate for the proven KMC passive-instrument blackout family.
IndicatorADV_EngineTemp,REUSE_PASSIVE,passive-instrument,Powered gauge/indicator; candidate for the proven KMC passive-instrument blackout family.
IndicatorADV_HEAT,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
IndicatorADV_PodTemp,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
IndicatorADV_ShieldTemp,REUSE_PASSIVE,passive-instrument,Powered gauge/indicator; candidate for the proven KMC passive-instrument blackout family.
IndicatorADV_THRUST,REUSE_PASSIVE,passive-instrument,Powered gauge/indicator; candidate for the proven KMC passive-instrument blackout family.
IndicatorADV_THRUSTLIMIT,REUSE_PASSIVE,passive-instrument,Powered gauge/indicator; candidate for the proven KMC passive-instrument blackout family.
IndicatorPanel,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
JSIMainCompUnit,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
KanonDSLR600,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
kOSTerminal,IGNORE_STATIC,optional-mod-exception,Intentional KMC optional mod exception: kOSTerminal belongs to the optional Probe Control Room / kOSPropMonitor integration; KMC core leaves it native.
Lable_ACTIONS,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_Atmosphere,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_ATTITUDE,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_COMMNET,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
Lable_ENVIRONMENT,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
Lable_EPG,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
Lable_IntLight,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_LSS_STATUS,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_PARACHUTE,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_PowerSupply,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_PROTECTION,IGNORE_STATIC,static/mechanical,"Decorative, structural, storage, hatch, or non-display prop; no electrical blackout behavior is required for Mk1-level parity."
Lable_StabMode,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_Staging,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
Lable_Temperature,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
ledPanelSpeed,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
LifeSupportMonitor,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
LowChargeIndicator,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
LowOxidizerIndicator,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
LowXenonGasIndicator,REUSE_ANNUNCIATOR,annunciator,Powered warning/status lamp; candidate for the proven KMC powered-annunciator family.
MasterAlarm,REFERENCE_BASELINE,mk1-reference,Present in the completed Mk1 reference cockpit REVIEW set; no new work is required for Mk1-level parity.
